iter	Passed	Remaining
444	1170	1459
445	1172	1456
446	1174	1453
447	1176	1449
448	1178	1445
449	1179	1441
450	1181	1437
451	1182	1433
452	1184	1430
453	1186	1427
454	1188	1424
455	1190	1420
456	1192	1417
457	1194	1413
458	1195	1409
459	1197	1405
460	1198	1401
461	1200	1398
462	1203	1395
463	1205	1392
464	1207	1389
465	1208	1385
466	1210	1381
467	1211	1377
468	1213	1373
469	1215	1370
470	1217	1367
471	1219	1364
472	1221	1360
473	1222	1357
474	1224	1353
475	1225	1349
476	1227	1345
477	1228	1341
478	1230	1338
479	1232	1335
480	1235	1332
481	1236	1329
482	1238	1325
483	1239	1321
484	1241	1318
485	1242	1314
486	1244	1311
487	1247	1309
488	1250	1306
489	1251	1303
490	1253	1299
491	1255	1296
492	1256	1292
493	1258	1289
494	1260	1285
495	1262	1282
496	1264	1279
497	1266	1276
498	1267	1272
499	1268	1268
500	1270	1265
501	1271	1261
502	1273	1257
503	1274	1254
504	1277	1251
505	1279	1248
506	1281	1245
507	1282	1242
508	1283	1238
509	1285	1234
510	1286	1231
511	1288	1227
512	1289	1224
513	1292	1222
514	1294	1219
515	1296	1215
516	1297	1212
517	1298	1208
518	1300	1204
519	1301	1201
520	1302	1197
521	1304	1194
522	1306	1191
523	1308	1188
524	1310	1185
525	1311	1182
526	1313	1178
527	1314	1175
528	1316	1171
529	1317	1168
530	1320	1166
531	1323	1164
532	1325	1161
533	1327	1158
534	1329	1155
535	1332	1153
536	1334	1150
537	1337	1148
538	1340	1146
539	1341	1143
540	1343	1139
541	1344	1136
542	1346	1133
543	1348	1130
544	1350	1127
545	1352	1124
546	1355	1122
547	1356	1119
548	1358	1115
549	1359	1112
550	1361	1109
551	1362	1106
552	1365	1103
553	1367	1100
554	1370	1098
555	1371	1095
556	1373	1092
557	1375	1089
558	1376	1086
559	1378	1083
560	1381	1080
561	1383	1078
562	1385	1075
563	1386	1072
564	1388	1068
565	1389	1065
566	1391	1062
567	1392	1059
568	1394	1056
569	1396	1053
570	1398	1050
571	1400	1047
572	1401	1044
573	1403	1041
574	1404	1038
575	1405	1034
576	1407	1031
577	1409	1028
578	1411	1026
579	1413	1023
580	1414	1020
581	1416	1017
582	1417	1014
583	1419	1011
584	1420	1007
585	1422	1004
586	1423	1001
587	1426	999
588	1428	996
589	1430	993
590	1431	990
591	1433	987
592	1434	984
593	1436	981
594	1438	979
595	1441	976
596	1443	974
597	1446	972
598	1448	969
599	1450	966
600	1452	964
601	1455	962
602	1456	959
603	1458	956
604	1460	953
605	1462	950
606	1463	947
607	1465	944
608	1467	941
609	1469	939
610	1471	936
611	1473	934
612	1474	931
613	1476	928
614	1477	925
615	1479	921
616	1480	918
617	1481	915
618	1483	912
619	1485	910
620	1487	907
621	1488	904
622	1489	901
623	1491	898
624	1492	895
625	1493	892
626	1495	889
627	1496	886
628	1498	883
629	1500	881
630	1502	878
631	1503	875
632	1504	872
633	1506	869
634	1507	866
635	1508	863
636	1510	860
637	1511	857
638	1512	854
639	1515	852
640	1517	850
641	1519	847
642	1521	844
643	1523	841
644	1524	839
645	1526	836
646	1530	835
647	1533	833
648	1535	830
649	1537	827
650	1539	825
651	1540	822
652	1545	821
653	1546	818
654	1549	815
655	1550	813
656	1552	810
657	1553	807
658	1555	804
659	1558	802
660	1560	800
661	1562	797
662	1564	795
663	1566	792
664	1567	789
665	1569	786
666	1570	784
667	1574	782
668	1576	780
669	1579	777
670	1581	775
671	1582	772
672	1584	769
673	1588	768
674	1591	766
675	1593	763
676	1595	761
677	1598	759
678	1599	756
679	1604	754
680	1607	752
681	1609	750
682	1611	748
683	1616	746
684	1620	744
685	1623	742
686	1624	740
687	1627	737
688	1628	735
689	1630	732
690	1634	730
691	1636	728
692	1637	725
693	1640	723
694	1641	720
695	1643	717
696	1645	715
697	1648	713
698	1650	710
699	1654	708
700	1655	706
701	1657	703
702	1659	700
703	1662	698
704	1664	696
705	1667	694
706	1669	691
707	1670	688
708	1672	686
709	1674	683
710	1677	681
711	1680	679
712	1682	677
713	1683	674
714	1685	671
715	1686	669
716	1689	666
717	1692	664
718	1695	662
719	1697	660
720	1700	658
721	1703	655
722	1706	653
723	1710	652
724	1714	650
725	1716	647
726	1718	645
727	1723	643
728	1725	641
729	1727	638
730	1729	636
731	1730	633
732	1732	631
733	1735	628
734	1740	627
735	1743	625
736	1744	622
737	1746	620
738	1751	618
739	1754	616
740	1756	613
741	1758	611
742	1759	608
743	1761	606
744	1763	603
745	1767	601
746	1769	599
747	1771	596
748	1773	594
749	1774	591
750	1776	589
751	1778	586
752	1780	584
753	1782	581
754	1783	578
755	1785	576
756	1787	573
757	1788	571
758	1790	568
759	1792	566
760	1796	564
761	1798	561
762	1799	558
763	1801	556
764	1802	553
765	1804	551
766	1806	548
767	1808	546
768	1811	544
769	1813	541
770	1814	539
771	1816	536
772	1818	533
773	1820	531
774	1822	529
775	1824	526
776	1827	524
777	1828	521
778	1830	519
779	1831	516
780	1833	514
781	1834	511
782	1836	508
783	1838	506
784	1840	504
785	1842	501
786	1843	499
787	1845	496
788	1846	493
789	1848	491
790	1850	488
791	1853	486
792	1854	484
793	1857	481
794	1858	479
795	1859	476
796	1861	474
797	1863	471
798	1864	469
799	1866	466
800	1868	464
801	1870	461
802	1871	459
803	1873	456
804	1874	454
805	1876	451
806	1877	449
807	1879	446
808	1880	444
809	1882	441
810	1885	439
811	1887	436
812	1888	434
813	1890	431
814	1891	429
815	1892	426
816	1894	424
817	1895	421
818	1897	419
819	1899	416
820	1900	414
821	1902	411
822	1903	409
823	1905	406
824	1906	404
825	1907	401
826	1909	399
827	1911	397
828	1914	394
829	1916	392
830	1918	390
831	1919	387
832	1921	385
833	1923	382
834	1924	380
835	1926	377
836	1928	375
837	1931	373
838	1932	370
839	1934	368
840	1935	365
841	1937	363
842	1938	361
843	1940	358
844	1942	356
845	1944	353
846	1946	351
847	1947	349
848	1948	346
849	1950	344
850	1951	341
851	1953	339
852	1954	336
853	1956	334
854	1958	332
855	1959	329
856	1961	327
857	1962	324
858	1964	322
859	1966	320
860	1967	317
861	1969	315
862	1970	312
863	1973	310
864	1987	310
865	1992	308
866	1994	305
867	1996	303
868	1997	301
869	1999	298
870	2002	296
871	2004	294
872	2005	291
873	2007	289
874	2009	287
875	2010	284
876	2012	282
877	2014	279
878	2017	277
879	2019	275
880	2021	273
881	2023	270
882	2025	268
883	2026	265
884	2028	263
885	2031	261
886	2033	258
887	2035	256
888	2036	254
889	2038	251
890	2040	249
891	2041	247
892	2044	244
893	2046	242
894	2048	240
895	2049	237
896	2051	235
897	2052	233
898	2054	230
899	2056	228
900	2058	226
901	2061	223
902	2063	221
903	2065	219
904	2067	217
905	2069	214
906	2071	212
907	2072	210
908	2075	207
909	2077	205
910	2079	203
911	2081	200
912	2083	198
913	2085	196
914	2088	194
915	2092	191
916	2095	189
917	2098	187
918	2100	185
919	2102	182
920	2104	180
921	2107	178
922	2109	175
923	2111	173
924	2113	171
925	2115	169
926	2116	166
927	2118	164
928	2121	162
929	2123	159
